KONU,İlan Tarihi
"Corona Virüs Tatili: 16 Mart tarihinden itibaren 3 hafta süre ile derslerin yapılmaması ve Bitirme Projesi kapsamında firmalarda uygulama yapma zorunluluğunun bulunmaması söz konusu olmakla birlikte, ilerleyen günlerde değişen koşullara bağlı olarak yapılacak duyuruların Üniversite ve Bölüm web sayfasından takip edilmesi gerekmektedir.",13.03.2020
EML Deney Programı Güncellendi: END4010 Endüstri Mühendisliği Laboratuarı’na ait Deney 1’in (PLC) başlama saati 10:15 ve Deney 3’ün (CNC) başlama saati 08:45 olarak değişmiştir. 04.03.2020 ve sonrasındaki haftalarda ilgili deneyler güncellenen saatlere göre başlayacaktır. Güncel programa DUYURULAR sayfası ve buradan erişebilirsiniz. ,26.02.2020
Lisans Ders Programı Güncellendi: 2019-2020 Bahar Dönemi Endüstri Mühendisliği Lisans Haftalık Ders Programında yeni eklenen laboratuar saatleri ile Basic Statistical Methods dersinin 19 Mart 2020 tarihine kadar geçerli olarak Cuma günleri yapılacağına dair değişiklikleri içeren programa DUYURULAR sayfası ve buradan erişebilirsiniz.,26.02.2020
"
Türk Dili derslerinin Uzaktan Erişimle Verilmesi: 2019-2020 Bahar döneminde UKEY üzerinden çevrim-içi (on-line) verilecek dersler ile ilgili duyuruya buradan ve erişim için yardım dokümanına buradan erişebilirsiniz. 
","
14.02.2020
"
"
Çakışan Dersler ve Devamsızlık Durumu Hakkında: Otomasyon sistemi, yapılan yönetmelik değişikliği sonucu ders kayıtlarında çakışan derslerin alınmasını engellememektedir. Ancak öğrencilerimize yapılan duyuruda bu konuda sorumluluğun kendilerinde olduğu ve ilk defa alınacak dersler için devam zorunluluğu nedeniyle çakışmaya müsaade edilmeyeceğini hatırlatmak isteriz. Daha sonra yapılacak kontroller ile bu durumdaki öğrencilerin derslerinin silinmesi yoluna gidilecektir. Dersi tekrar eden öğrencilerin devamsızlık hakkı bulunsa da bu öğrencilerin dersin dönem içi ödev, kısa sınav, ara sınav, proje yükümlülüklerini tekrar yerine getirme zorunluluğu vardır.
","
12.02.2020
"
"
Tezli Yüksek Lisans ve Doktora Ders Programı: 2019-2020 Bahar Dönemi Endüstri Mühendisliği Yüksek Lisans ve Doktora Haftalık Ders Programına DUYURULAR sayfası ve buradan erişebilirsiniz.
","
03.02.2020
"
"
Tezsiz Yüksek Lisans Ders Programı: 2019-2020 Bahar Dönemi Mühendislik ve Teknoloji Yönetimi Tezsiz Yüksek Lisans Haftalık Ders Programına DUYURULAR sayfası ve buradan erişebilirsiniz.
","
03.02.2020
"
Endüstri Mühendisliği Öğrenci Topluluğumuzun düzenlediği 15. Endüstri Mühendisliği ve Sanayi Zirvesi (EMSAZ) 28-29 Şubat 2020 tarihlerinde Mete Cengiz Kültür Merkezinde düzenlendi.
2019-2020 Bütünleşik Sistem Tasarımı 1. sunumları 27 Aralık Cuma günü yapıldı. Sunumda yer alan proje konularına buradan erişebilirsiniz.
"
TÜBİTAK 2242 - Üniversite Öğrencileri Araştırma Proje Yarışmalarındadaha önce İzmir'de Bölgesel dereceye giren öğrencilerimize İstanbul-Teknofest'de Türkiye Üçüncülüğü ödülü verildi.
"
"MÜDEK-Mühendislik Eğitim Programları Akreditasyon Kurulu, Bölümümüz Lisans eğitim programının akreditasyonunu 30 Eylül 2021 tarihinine kadar geçerli olmak üzere güncelledi. EUR-ACE etiketimiz yenilendi."
"2018-2019 Bütünleşik Sistem Tasarımı Proje gruplarındanRaha Türk, Ahmet Ören ve Rümeysa Zenğin ileMerve Bakır, Elif Ceren Avşar ve Hasan Karahan’ınyer aldığıiki grup TÜBİTAK 2242 Üniversite Öğrencileri Araştırma Proje Yarışmasında ;zmir Bölgesinde birincilik ve ikincilik ödüllerini paylaştı."
2018-2019 Bütünleşik Sistem Tasarımı Projeleri Sunumu ve MMO Bitirme Projesi Yarışması 24 Haziran 2019 Pazartesi günü yapıldı. Yarışmada ilk üç dereceye girenlere ödülleri verildi. MMO Bitirme Projesi Yarışmasında dereceye giren projeler için ilgili habere buradan erişebilirsiniz....
"
TEB Akıl Fikir Yarışması’nın 2.lik ödülünü 15.900 başvuru arasından Uludağ Üniversitesi Endüstri Mühendisliği 3.sınıf öğrencimiz Dilek Mutlu kazandı.
"
Bölümümüz 9-11 Aralık 2018 tarihlerinde MÜDEK Akreditasyon Değerlendirme Ekibince ziyaret edildi. Değerlendirmeye esas oluşturan 2018 yılı Bölüm Lisans Eğitimi Özdeğerlendirme raporumuz yayınlandı.
"2017-2018 Bütünleşik Sistem Tasarımı proje gruplarından Hülya ÇÖK, Ali TÜRK ve Nihan YEŞİLKÜTÜK'ün çalıştığı ""Otomotiv Endüstrisinde Yedek Parça Planlama Sistematiğinin Kurulması ve Standartlaştırılması"" başlıklı proje Tübitak'ın 2241-Özel Sektöre Yönelik Bitirme Tezleri Yarışmasında 12.11.2018-14.11.2018 tarihleri arasında Ankara'da düzenlenen Final Yarışmasına Türkiye Birincisi oldu. Başarının basındaki yansımaları için tıklayınız."
"Doç. Dr. Tülin Gündüz'ün ""Otomotiv İmalatında Artırılmış Gerçeklik Gözlüğü Kullanımının Bilişsel Yüke Etkisinin Araştırılması"" başlıklı TÜBİTAK 1001 projesinin başlatılmasına ilişkin basın haberleri için tıklayınız."
